-7	РОЛИ	ДЕТИ	РОДИТЕЛИ
-6	КАК	МЕДИА	АКАДЕМИК
-5	ПЕСНИ	ДЕЛО	ПОСЛЕДНИЕ
-4	НЕТ	ПРИЕЗД	ПРЕЗИДЕНТ
-3	ИНТЕРЕС	ОНА	НАСТРОЕНИЕ
-2	АДРЕС	КАНАЛ	АЛЕКСАНДРА
-1	СНЕГА	ДВА	НАВСЕГДА
0	МИРА	ТЕЛА	МАТЕРИАЛ
1	ВИД	ЕЛЕНА	ДАВЛЕНИЕ
2	ЭТО	СНИМОК	ЭКОНОМИСТ
3	РАН	СДЕЛКА	АЛЕКСАНДР
4	ОДИН	СЕРЕЖА	СОДЕРЖАНИЕ
5	ГОРЫ	ПЕРВОЕ	ПЕРЕГОВОРЫ
6	ГОД	РОВНО	НОВГОРОД
7	ГЕНРИ	МАЯ	ГЕРМАНИЯ
8	НИКТО	ВЕС	СОВЕТНИК
9	ТАК	ОСНОВА	ОСТАНОВКА
10	ПЕСНЯ	ДОЛЯ	ПОСЛЕДНЯЯ
11	ТРИ	ЛАУРЕАТ	ЛИТЕРАТУРА
12	ОБРАЗ	КАРТА	РАЗРАБОТКА
13	СРОК	САМИ	КОМИССАР
14	КИМ	НАРОД	КОМАНДИР
15	ТРЕК	РОДА	РЕДАКТОР
16	ИГРА	МАРТА	МАРГАРИТА
17	ПЛАН	МАРТЕ	ПАРЛАМЕНТ
18	ТОМ	РАССВЕТ	МАСТЕРСТВО
19	ЧЕЛСИ	КОТОВ	КОЛИЧЕСТВО
20	ТЕРРИ	КОД	ДИРЕКТОР
21	МЕР	ПАБЛО	ПРОБЛЕМА
22	НИЧТО	ИСК	ИСТОЧНИК
23	ДЕНЬ	КАРЛА	КАЛЕНДАРЬ
24	СПОРТ	НОЧЬ	ПРОЧНОСТЬ
25	СЕРИЯ	АНТОН	НАСТРОЕНИЯ
26	ЧТЕНИЕ	ПАВЕЛ	ВПЕЧАТЛЕНИЕ
27	КИЕВ	РАНО	ВЕРОНИКА
28	ТОЙ	АЛИНА	АНАТОЛИЙ
29	НИМ	ГРОЗА	ОРГАНИЗМ
30	НЕМ	РАСЧЕТ	МАНЧЕСТЕР
31	ПИЛОТ	ЦЕНА	ПОТЕНЦИАЛ
32	СТЕН	УРОВЕНЬ	УВЕРЕННОСТЬ
33	ПОЛ	РОЖДЕНИЕ	ПРОДОЛЖЕНИЕ
34	ОПЫТ	РЕКИ	ПОКРЫТИЕ
35	ИЛИ	ТАНКА	АНАЛИТИК
36	ЕСЛИ	ВАНЯ	ВАЛЕНСИЯ
37	КОВЕР	СТАЛ	ЛЕКАРСТВО
38	ДНИ	ВЕЧЕРА	АНДРЕЕВИЧ
39	ЛЕТ	РОМАНОВ	ЛЕРМОНТОВА
40	ЧАСТЬ	ВОЛНА	НАЧАЛЬСТВО
41	ОРЕЛ	НАДО	ЛЕОНАРДО
42	ЧЕРТ	ПИВО	ПЕТРОВИЧ
